Date,GBP +AC0- EUR,EUR +AC0- GBP,GBP +AC0- AUD,AUD +AC0- GBP,GBP +AC0- JPY,JPY +IBM- GBP,GBP +AC0- USD,USD +AC0- GBP
04/03/2024,1.104055,0.905752,1.773384,0.563894,139.58543,0.007164,1.359536,0.740285
05/03/2024,1.103202,0.906452,1.773443,0.563875,139.71244,0.007158,1.350831,0.739508
06/03/2024,1.103202,0.906452,1.773443,0.563875,139.71244,0.007158,1.35225,0.739508
07/03/2024,1.09123,0.916397,1.761989,0.567541,138.083955,0.007242,1.35225,0.749095
08/03/2024,1.0953,0.912992,1.770881,0.564691,138.151187,0.007238,1.334944,0.750265
09/03/2024,1.107692,0.902778,1.780846,0.561531,139.853159,0.00715,1.332862,0.740255
10/03/2024,1.11219,0.899127,1.782856,0.560898,140.465753,0.007119,1.350886,0.737945
11/03/2024,1.109873,0.901004,1.781836,0.561219,140.189972,0.007133,1.355115,0.738498
12/03/2024,1.089348,0.917981,1.760784,0.567929,138.493349,0.007221,1.3541,0.747328
13/03/2024,1.089348,0.917981,1.760784,0.567929,138.493349,0.007221,1.3381,0.747328
14/03/2024,1.100597,0.908598,1.776958,0.56276,139.626269,0.007162,1.3381,0.74385
15/03/2024,1.102658,0.9069,1.772358,0.56422,139.839935,0.007151,1.344357,0.740325
16/03/2024,1.106978,0.90336,1.770628,0.564771,140.496958,0.007118,1.350758,0.735475
17/03/2024,1.116789,0.895424,1.771635,0.56445,140.922711,0.007096,1.359666,0.732515
18/03/2024,1.123374,0.890176,1.782132,0.561126,141.166888,0.007084,1.36516,0.731368
19/03/2024,1.126741,0.887515,1.777285,0.562656,141.160051,0.007084,1.3673,0.731368
20/03/2024,1.126741,0.887515,1.777285,0.562656,141.160051,0.007084,1.3673,0.731368
21/03/2024,1.10611,0.904069,1.768781,0.565361,139.884887,0.007149,1.3673,0.737535
22/03/2024,1.107822,0.902672,1.757298,0.569055,139.892273,0.007148,1.355868,0.734265
23/03/2024,1.105848,0.904284,1.746064,0.572717,140.341816,0.007125,1.361906,0.735775
24/03/2024,1.104871,0.905083,1.747665,0.572192,140.704696,0.007107,1.359111,0.737765
25/03/2024,1.108275,0.902303,1.746495,0.572575,141.069573,0.007089,1.355445,0.736275
26/03/2024,1.109653,0.901183,1.748132,0.572039,141.010658,0.007092,1.358188,0.737164
27/03/2024,1.109653,0.901183,1.748132,0.572039,141.010658,0.007092,1.35655,0.737164
28/03/2024,1.110576,0.900434,1.752731,0.570538,140.779382,0.007103,1.35655,0.739945
29/03/2024,1.120703,0.892297,1.76447,0.566743,141.938715,0.007045,1.351452,0.733785
30/03/2024,1.121126,0.89196,1.761455,0.567712,141.650593,0.00706,1.362797,0.733615
31/03/2024,1.125695,0.88834,1.756929,0.569175,141.849853,0.00705,1.363113,0.730815
01/04/2024,1.124639,0.889174,1.762045,0.567522,141.179591,0.007083,1.368335,0.735085
02/04/2024,1.124922,0.88895,1.764053,0.566876,141.102982,0.007087,1.360387,0.735916
03/04/2024,1.124922,0.88895,1.764053,0.566876,141.102982,0.007087,1.35885,0.735916
04/04/2024,1.124216,0.889509,1.767117,0.565893,140.778261,0.007103,1.35885,0.736385
05/04/2024,1.123576,0.890016,1.768493,0.565453,141.483152,0.007068,1.357985,0.734045
06/04/2024,1.127216,0.887142,1.763098,0.567184,141.404848,0.007072,1.362314,0.732535
07/04/2024,1.130059,0.884909,1.769651,0.565083,142.092664,0.007038,1.365122,0.728975
08/04/2024,1.123409,0.890148,1.771216,0.564584,141.984252,0.007043,1.371789,0.730905
09/04/2024,1.123792,0.889845,1.772895,0.564049,141.967121,0.007044,1.368167,0.730909
10/04/2024,1.123792,0.889845,1.772895,0.564049,141.967121,0.007044,1.36816,0.730909
11/04/2024,1.125961,0.88813,1.775022,0.563373,141.779217,0.007053,1.36816,0.731895
12/04/2024,1.129083,0.885675,1.774023,0.563691,142.305343,0.007027,1.366316,0.728525
13/04/2024,1.13178,0.883564,1.782793,0.560918,142.53875,0.007016,1.372636,0.730005
14/04/2024,1.131625,0.883685,1.787721,0.559371,143.115925,0.006987,1.369854,0.728965
15/04/2024,1.130119,0.884863,1.790792,0.558412,143.535222,0.006967,1.371808,0.72895
16/04/2024,1.129763,0.885141,1.794125,0.557375,143.590442,0.006964,1.371836,0.729262
17/04/2024,1.129145,0.885626,1.793368,0.55761,143.484497,0.006969,1.37125,0.729661
18/04/2024,1.132819,0.882754,1.79325,0.557647,143.581693,0.006965,1.3705,0.730995
19/04/2024,1.134853,0.881171,1.799329,0.555763,143.392751,0.006974,1.367998,0.732945
20/04/2024,1.135585,0.880604,1.791393,0.558225,143.435723,0.006972,1.364359,0.732335
21/04/2024,1.141094,0.876352,1.798116,0.556138,144.039461,0.006943,1.365495,0.731855
22/04/2024,1.140319,0.876948,1.792568,0.557859,144.651227,0.006913,1.366391,0.728625
